"institutionCode","records"
"MNA (Section of Genoa) associated collection of CCFEE (Tuscia University) - Antarctic Fungi",136
"UAF",136
"GAMLR 1982",134
"The Atlantic Reference Centre (ARC)",134
"DG Nicholls & Peter Ryan",130
"Jake Levenson",130
"NCSM",128
"GAMLR 1983",125
"BOEM, NOAA, NAVY, USFWS",123
"GAMLR 1987",123
"DomSeTCO/Oceans Forward",120
"IRD-MNHN",120
"FO",118
"Seaturtle.org / MTRG",112
"Universidad de Salamanca",110
"ICoMM-NIOZ",108
"DON",101
"MarBEF",100
"Bureau of Marine Resources, Palau",97
"Uconcep",97
"CRC",96
"INOCAR",95
"ULB, BioMAR",94
"GNM",91
"NMNZ",90
"TU",90
"Southwest Fisheries Science Center (SWFSC)",89
"SERC",86
"GAMLR 2004",85
"MCM",84
"Marine Research Foundation",83
"ProDelphinus & Marine Turtle Research Group",80
"Institute of Marine Biology, Far East Branch of the Russian Academy of Sciences",78
"USFWS, Linda Welch",78
"HMAP",77
"Islameta Group, Dept. of Biology - University of Pisa",76
"Macquarie University",74
"ProDelphinus",73
"Zoological Institute, Russian Academy of Sciences, Universitetskaya nab., 1, St.-Petersburg;Institute of Polar Ecology of Kiel University;National Museum of Natural History, Smithsonian Institution;Alfred-Wegener-Institute for Polar and Marine Research, D",72
"CMLRE-Phytoplankton",71
"KU",71
"CENPAT",70
"University of Pisa, Italy / Swansea University, UK / und University, Sweden",69
"Nova Scotia Museum",65
"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",64
"CRAM-UPV",64
"GAMLR 1980",64
"GAMLR_3",64
"Marine Turtle Research Group / Seaturtle.org",63
"NATAL MUSEUM",62
"IO-USP",60
"UAM",58
"P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences",54
"ZMK",54
"ADS Biodiversidad",53
"Marine Turtle Research Group",53
"AMNH",51
"Brazil Trawl caught turtles",50
"CUMV",49
"ICoMM-Microscope",49
"FIBEX POLAND",47
"Oregon State University",45
"Zoological Institute, Russian Academy of Sciences",44
"Pro Delphinus & NOAA - Southwest Fisheries Science Center",43
"SEAMARC / Four Seasons Resorts Maldives",43
"Virginia Aquarium & Marine Science Center Foundation",43
"RAS",40
"GAMLR 1988",38
"GAMLR 1994",38
"IMAR/DOP",38
"Marinelife Alliance",38
"National Institute of Water and Atmospheric  Research (NIWA, New Zealand)",38
"SU",38
"AK",37
"USGS",36
"Zoogene",36
"Jumeirah Group",34
"Sieg Collection",34
"UAChile",34
"Zoological Institute, Russian Academy of Science",34
"Institut de Recherche pour le Developpement, Departement des Ressources Vivantes",33
"P.P. Shirshov Institute of Oceanology, Russian Academy of Scienses",33
"LSUMZ",32
"NOR 1979",32
"NRM",32
"ZSM",32
"USGS Alaska Science Center & U.S. Fish and Wildlife Service",30
"Proyecto Aegina",29
"www.ug.edu.ec",29
"eShark",28
"Zoological Museum, Moscow State University, Woods Hole Oceanographic Institution",28
"IWC/ICDR",27
"AORI-UTYO",26
"College of the Atlantic, Allied Whale",26
"Hideo Hatase",26
"INHS",26
"UFPR",26
"FRUELA",25
"UA",25
"UNIV. FED.CEARÁ",25
"AIMS",23
"Italica 2000",23
"Seaturtle.org / NCWRC / DUML",23
"Institute of Marine Research",22
"Italica2000",21
"PUCEcuador",21
"GRA",20
"NMML",20
"UAC",20
"UChile",20
"IWC",19
"JAPANESE EXP",19
"POL 1978",19
"MOM",18
"UNCordoba",18
"GAMLR2",17
"New England Aquarium",17
"Old Dominion Univ/Univ of Exeter/Wildlife Conservation Society",17
"PENV",17
"Duke",16
"NOR_1977",16
"UBA",16
"Instituto Policattedra di Oceanologia e Paleoecologia, Catania, Italy",15
"NOR_1979",15
"Supraja Dharini",15
"CZM",14
"UNICAMP",14
"AUM",13
