"id","name","country","records"
19456,"Census of Marine Life","United States of America",1350
19415,"Universiteit Gent, Faculteit Wetenschap, Vakgroep Biologie, Afdeling Nematologie","Belgium",1176
7373,"Lomonosov Moscow State University,GSP","Russian Federation",1168
10228,"Universidade Federal do Pará","Brazil",1168
10651,"Univesity of Texas at San Antonio, College of Sciences","United States of America",1168
10708,"POD Federaal Wetenschapsbeleid","Belgium",1168
19301,"Commonwealth Scientific and Industrial Research Organisation ","Australia",1168
19325,"University of Salzburg","Austria",1168
20845,"Bioconsult Schuchardt & Scholle GbR","Germany",1168
9329,"University of Queensland, St Lucia Campus","Australia",1106
19563,"Schleswig-Holstein – Landesamt für Landwirtschaft, Umwelt und ländliche Räume","Germany",1075
19611,"Universität zu Kiel — Institut für Ökosystemforschung","Germany",1075
19521,"National University of Ireland, Galway – The Martin Ryan Science Institute – Department of Zoology","Ireland",1074
13380,"Observatoire Océanologique de Villefranche-sur-Mer, Université Paris6","France",1057
19474,"South Australian Museum","Australia",1039
19378,"University of Lodz – Dept. Invertebrate Zoology & Hydrobiology – Laboratory of Polar Biology and Oceanobiology","Poland",827
5222,"Canadian Museum of Nature, Research & Collections","Canada",801
19523,"The A. O. Kovalevsky Institute of Marine Biological Research of Russian Academia of Science –  Department of Plankton","Russian Federation",780
18439,"United Nations Educational, Scientific and Cultural Organization","France",756
19332,"University of Glasgow","United Kingdom of Great Britain and Northern Ireland",756
8907,"Universidade Federal do Rio de Janeiro","Brazil",750
12401,"BrachNet",,736
19363,"U.S. Geological Survey – Patuxent Wildlife Research Center","United States of America",692
20786,"Aquarium de Paris","France",663
9179,"Universität Hamburg, Biozentrum Grindel und Zoologisches Museum","Germany",641
19513,"La Trobe Institute for Molecular Science","Australia",641
19605,"Geomarine Research","New Zealand",635
19434,"Universita di Genoa; Facoltà di Scienze Matematiche Fisiche e Naturali; Dipartimento per lo Studio del Territorio e delle sue Risorse","Italy",634
10209,"Marine Research Institute, Hafrannsóknastofnunin.","Iceland",533
19475,"South Australian Museum – Department of Marine Invertebrates","Australia",517
19358,"Australian Bureau of Agricultural and Resource Economics and Sciences","Australia",450
19582,"Koninklijk Belgisch Instituut voor Natuurwetenschappen — Departement Invertebraten","Belgium",450
19274,"Australasian Seabird Group","Australia",433
19495,"Universita degli Studi di Padova — Dipartimento di Geoscienze","Italy",374
19411,"Queensland Museum","Australia",368
18303,"Fundación Charles Darwin","Ecuador",297
19508,"Hartpury College and University Centre","United Kingdom of Great Britain and Northern Ireland",277
19430,"Tasmanian Museum and Art Gallery","Australia",270
18847,"Northwest Atlantic Fisheries Organization","Canada",259
19575,"Museum and Art Gallery, Northern Territory","Australia",256
13238,"University of Hawaii at Manoa","United States of America",206
18,"Museo Argentino de Ciencias Naturales ""Bernardino Rivadavia""","Argentina",195
16218,"Koninklijk Nederlands Instituut voor Onderzoek der Zee, Yerseke","Netherlands",183
19585,"Koninklijk Nederlands Instituut voor Onderzoek der Zee, Yerseke — Afdeling Ecosysteem Studies","Netherlands",183
19487,"Royal Belgian Institute for Natural Sciences – Directorate Natural Environment – Conservation Biology Unit","Belgium",169
19618,"Laboratory for Polar Ecology","France",169
19290,"Tuscia University - Department of Ecological and Biological Sciences","Italy",136
19547,"University of Alaska Fairbanks – Laboratory for Ecological Wildlife Habitat Data Analysis for the Land- and Seascape","United States of America",136
20413,"Diversity of the Indo-Pacific Network","United States of America",132
17768,"Conservation of Arctic Flora and Fauna.","Iceland",127
6759,"Institute of Zoology, Zoological Society of London","United Kingdom of Great Britain and Northern Ireland",126
19412,"Museum of Tropical Queensland","Australia",126
19486,"Eamer Science & Policy","Canada",126
19601,"Environment and Climate Change Canada","Canada",126
19626,"Polar Knowledge Canada","Canada",126
18077,"University of Tasmania","Australia",114
