"organization","records","datasets"
"Observatoire PELAGIS, UMS 3462, University La Rochelle-CNRS",8038,3
"Macquarie University",7783,2
"Stanford University",6636,1
"Sorbonne Université",6597,3
"Department of Earth, Environmental and Life Science (DISTAV), University of Genoa",6280,2
"Italian National Antarctic Museum (MNA, section of Genoa)",6280,2
"Huntsman Marine Science Centre",6055,1
"Senckenberg Nature Research Society Research Institute and Natural History Museum (SGN)",6006,11
"Russian Academy of Sciences; Zoological Institute of RAS",5971,4
"Centre National de la Recherche Scientifique; Observatoire Océanologique de Villefranche sur Mer Laboratoire d'Océanographie de Villefranche (CNRS-LOV)",5934,2
"European Molecular Biology Laboratory (EMBL)",5934,2
"Institut de la Mer de Villefranche (IMEV)",5934,2
"Tara Oceans Consortium",5934,2
"The National Center for Scientific Research Station Biologique de Roscoff (CNRS-SBR)",5934,2
"Swedish Museum of Natural History (NRM)",5929,2
"Vlaams Instituut voor de Zee (VLIZ)",5789,6
"CSIRO Oceans &amp; Atmosphere",5775,9
"Australia Antarctic Division",5598,11
"Johann Heinrich von Thünen-Institut Institute of Sea Fisheries (vTI-TI/SF)",5586,1
"Museum of New Zealand Te Papa Tongarewa",5463,2
"Australian Antarctic Data Centre, Australia",5367,15
"Australian Museum",4973,6
"Polish Academy of Sciences; Institute of Oceanology Department of Marine Ecology (PAN-IOPAN)",4902,1
"Smithsonian Institution National Museum of Natural History (NMNM)",4789,2
"Smithsonian Institution; National Museum of Natural History (NMNM)",4717,1
"Centro Nacional Patagónico - CONICET",4691,7
"Senckenberg am Meer German Centre for Marine Biodiversity Research (DZMB)",4677,4
"Universiteit Gent; Faculteit Wetenschappen; Vakgroep Biologie Onderzoeksgroep Mariene Biologie (UGent-MARBIOL)",4660,6
"Monterey Bay Aquarium; Research Institute (MBARI)",4480,1
"Royal Belgian Institute of Natural Sciences",4435,10
"Federal Government of the United States of America; Department of Commerce National Oceanic and Atmospheric Administration (NOAA)",4298,2
"Alfred Wegener Institute for Polar- and Marine Research",4156,1
"Russian Academy of Sciences; Zoological Institute; Laboratory of Marine Research",4156,1
"Royal Belgian Institute for Natural Sciences",4117,4
"Ruhr-University Bochum; Faculty of Biology and Biotechnology; Animal Ecology, Evolution and Biodiversity",4104,1
"Japan Agency for Marine-Earth Science and Technology",4048,3
"Koninklijk Belgisch Instituut voor Natuurwetenschappen (IRScNB/KBIN)",4009,11
"Centro Nacional Patagonico-CONICET",3942,5
"German Centre for Marine Biodiversity Research (DZMB), enckenberg Research Institute",3721,1
"Black Bawks Data Science",3627,1
"Department of Ecology and Evolution, Stony Brook University",3627,1
"Mesoscale Atmospheric Processes Laboratory",3627,1
"Oceanites",3627,1
"CSIR / SADCO / AfrOBIS",3578,11
"Senckenberg Research Institute and Natural History Museum",3518,2
"ANU",3412,1
"CSIRO",3318,6
"Instituto de Ecologia, Genetica y Evolucion de Buenos Aires, UBA.",3269,1
"Costa Lab Mammals",3267,13
"Hawaii Institute of Marine Biology",3182,1
"Northeastern University Marine Science Center",3159,1
"Universidad Simón Bolívar",3042,2
"Laboratoire Biogéosciences UMR CNRS 6282",2744,1
"Marine Biology Lab",2744,1
"President of the National Museum History (Paris)",2744,1
"Senckenberg Nature Research Society; Abteilung Marine Zoologie Sektion Crustacea (SGN)",2724,1
"National Academy of Sciences of Ukraine; Institute of Biology of the Southern Seas Department of plankton (NASU)",2677,5
"Hakai Institute",2659,2
"iziko South African Museum",2623,5
"Farallon Institute for Advanced Ecosystem Research",2517,1
"WoRMS Steering Committee (SC)",2125,1
"National Museum of Nature and Science",2027,1
"Institute for Marine and Antarctic Studies (IMAS)Tasmania (UTAS)",2022,1
"CMLRE",1857,26
"NOAA Pacific Islands Science Center",1838,3
"Atmosphere and Ocean Research Institute (AORI)",1809,1
"University of Kansas; Division of Invertebrate Zoology; Department of Ecology and Evolutionary Biology, KU Natural History Museum",1746,1
"University of Hamburg; Zoological Institute und Zoological Museum; Zoological Museum Hamburg",1736,2
"Royal Ontario Museum",1728,2
"Spanish Ministry of Economy and Competiveness Instituto Español de Oceanografía (MINECO-IEO)",1716,1
"Spanish Ministry of Economy and Competiveness; Instituto Español de Oceanografía Centro Oceanográfico de Canarias (MINECO)",1716,1
"Victoria University of Wellington Antarctic Research Centre (ARC)",1704,1
"3Department of Zoology and Animal Biology, University of Geneva",1689,1
"National Oceanography Centr",1689,1
"Natural Environment Research Council",1689,1
"Wadsworth Center",1689,1
"Wake Forest University",1679,3
"Centro de Referência em Informação Ambiental (CRIA)",1614,7
"Royal Belgian Institute of Natural  Sciences",1596,1
"Greenland Institute of Natural Resources",1591,1
"Oceanites Inc",1555,1
"Stony Brook University",1555,1
"University of Canterbury",1555,1
"University of Maryland",1555,1
"University of Washington Burke Museum",1553,1
"San Jose State University",1536,1
"University of California, Santa Cruz",1536,1
"British Antarctic Survey (BAS)",1453,2
